raw_text,cleaned_text,category
1 .Exam and grades pressure,1 exam and grades pressure,Exams & grades
Education stress and Exam,education stress and exam,Exams & grades
Exams Pressure,exams pressure,Exams & grades
Exams Stess,exams stess,Exams & grades
Exams Stress,exams stress,Exams & grades
Exams and Grades Pressure,exams and grades pressure,Exams & grades
Exams stress,exams stress,Exams & grades
Stress Exam,stress exam,Exams & grades
Stress of exams,stress of exams,Exams & grades
Testing Tension,testing tension,Exams & grades
exams pressure,exams pressure,Exams & grades
Competitive environment,competitive environment,Expectations & competition
High expectations from parents or teachers,high expectations from parents or teachers,Family & personal
Education and Financial conditions,education and financial conditions,Financial
Financial Conditions,financial conditions,Financial
Financial concerns related to education,financial concerns related to education,Financial
Financial conditions,financial conditions,Financial
financial conditions,financial conditions,Financial
Difficulty understanding subjects,difficulty understanding subjects,Other
Learning outcomes depression,learning outcomes depression,Other
Other,other,Other
Paper conditions,paper conditions,Other
Stress Factor,stress factor,Other
stess factors,stess factors,Other
Prefer not to say,prefer not to say,Prefer not to say
lack of time managment,lack of time managment,Workload & time
